        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , VDDC Power Draw [W] , VDDCI Power Draw [W] , VRM Efficiency [%] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2022-04-16 09:38:09 ,        1216.0   ,           1750.0   ,               76.0   ,              50   ,                1878   ,        100   ,                       61   ,                       2519   ,                      135   ,                  99.3   ,              95.3   ,               10.7   ,             94.7   , 0.9313   ,               48.0   ,                  9986   ,
2022-04-16 09:38:10 ,        1216.0   ,           1750.0   ,               76.0   ,              50   ,                1879   ,        100   ,                       12   ,                       2519   ,                      135   ,                 110.1   ,              80.9   ,               10.7   ,             93.7   , 0.9375   ,               46.0   ,                  9982   ,
2022-04-16 09:38:11 ,        1216.0   ,           1750.0   ,               77.0   ,              50   ,                1878   ,         96   ,                       38   ,                       2519   ,                      135   ,                 107.1   ,              87.1   ,               10.7   ,             94.2   , 0.9375   ,               49.0   ,                  9983   ,
2022-04-16 09:38:12 ,        1216.0   ,           1750.0   ,               77.0   ,              50   ,                1878   ,        100   ,                       24   ,                       2519   ,                      135   ,                 114.9   ,              78.8   ,               10.7   ,             94.0   , 0.9375   ,               49.0   ,                 10000   ,
2022-04-16 09:38:13 ,        1216.0   ,           1750.0   ,               77.0   ,              50   ,                1878   ,         14   ,                        5   ,                       2519   ,                      135   ,                 116.8   ,              77.2   ,               10.7   ,             93.5   , 0.9375   ,               49.0   ,                 10000   ,
2022-04-16 09:38:14 ,        1216.0   ,           1750.0   ,               77.0   ,              50   ,                1878   ,        100   ,                       18   ,                       2519   ,                      135   ,                 105.8   ,              89.5   ,               10.7   ,             93.9   , 0.9313   ,               47.0   ,                 10000   ,
2022-04-16 09:38:15 ,        1216.0   ,           1750.0   ,               77.0   ,              50   ,                1877   ,        100   ,                       29   ,                       2515   ,                      135   ,                  97.6   ,              98.6   ,               10.7   ,             94.5   , 0.9313   ,               47.0   ,                 10001   ,
2022-04-16 09:38:16 ,        1216.0   ,           1750.0   ,               77.0   ,              50   ,                1876   ,        100   ,                       30   ,                       2515   ,                      135   ,                  91.9   ,             100.3   ,               10.7   ,             94.6   , 0.9313   ,               51.0   ,                 10016   ,
2022-04-16 09:38:17 ,        1216.0   ,           1750.0   ,               77.0   ,              50   ,                1876   ,        100   ,                       60   ,                       2515   ,                      135   ,                  97.4   ,              97.7   ,               10.7   ,             94.7   , 0.9313   ,               50.0   ,                 10015   ,
2022-04-16 09:38:18 ,        1216.0   ,           1750.0   ,               76.0   ,              50   ,                1877   ,         72   ,                       21   ,                       2693   ,                      137   ,                 122.2   ,              77.2   ,               10.7   ,             95.0   , 0.9313   ,               48.0   ,                 10018   ,
