        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , VDDC Power Draw [W] , VDDCI Power Draw [W] , VRM Efficiency [%] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2022-04-18 00:16:14 ,        1216.0   ,           1750.0   ,               77.0   ,              53   ,                2096   ,        100   ,                       64   ,                       3200   ,                      147   ,                  76.4   ,              66.1   ,               10.7   ,             93.4   , 0.9437   ,               51.0   ,                  9984   ,
2022-04-18 00:16:15 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2094   ,         44   ,                       16   ,                       3200   ,                      147   ,                 102.2   ,              58.1   ,               10.7   ,             93.8   , 0.9437   ,               53.0   ,                  9967   ,
2022-04-18 00:16:16 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2092   ,         99   ,                       44   ,                       3200   ,                      147   ,                  96.2   ,              78.1   ,               10.7   ,             93.6   , 0.9437   ,               54.0   ,                  9965   ,
2022-04-18 00:16:18 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2092   ,        100   ,                       52   ,                       3200   ,                      147   ,                  87.3   ,              45.3   ,               10.7   ,             90.0   , 0.9500   ,               54.0   ,                  9986   ,
2022-04-18 00:16:18 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2091   ,         95   ,                       56   ,                       3373   ,                      149   ,                 104.9   ,              77.4   ,               10.7   ,             95.0   , 0.9375   ,               52.0   ,                 10007   ,
2022-04-18 00:16:19 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2088   ,        100   ,                       36   ,                       3395   ,                      149   ,                 107.4   ,              96.2   ,               10.7   ,             94.6   , 0.9375   ,               53.0   ,                 10023   ,
2022-04-18 00:16:20 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2089   ,        100   ,                       55   ,                       3419   ,                      147   ,                  92.2   ,              97.2   ,               10.7   ,             94.6   , 0.9375   ,               52.0   ,                 10041   ,
2022-04-18 00:16:21 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2090   ,        100   ,                       31   ,                       3433   ,                      143   ,                 104.5   ,              77.5   ,               10.7   ,             93.7   , 0.9437   ,               53.0   ,                 10044   ,
2022-04-18 00:16:22 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2089   ,         87   ,                       47   ,                       3432   ,                      143   ,                  78.3   ,              90.8   ,               10.7   ,             93.7   , 0.9437   ,               52.0   ,                 10050   ,
2022-04-18 00:16:23 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2091   ,        100   ,                       43   ,                       3446   ,                      143   ,                  65.4   ,              90.1   ,               10.7   ,             93.6   , 0.9437   ,               53.0   ,                 10057   ,
2022-04-18 00:16:24 ,        1216.0   ,           1750.0   ,               77.0   ,              53   ,                2094   ,         79   ,                       30   ,                       3447   ,                      143   ,                  85.3   ,              65.1   ,               10.7   ,             93.0   , 0.9437   ,               55.0   ,                 10075   ,
2022-04-18 00:16:25 ,        1216.0   ,           1750.0   ,               77.0   ,              53   ,                2094   ,         98   ,                       42   ,                       3455   ,                      143   ,                  83.7   ,              85.8   ,               10.7   ,             91.0   , 0.9500   ,               54.0   ,                 10075   ,
2022-04-18 00:16:26 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2092   ,        100   ,                       50   ,                       3470   ,                      142   ,                  91.5   ,              71.7   ,               10.7   ,             91.4   , 0.9500   ,               52.0   ,                 10096   ,
2022-04-18 00:16:27 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2093   ,        100   ,                       59   ,                       3476   ,                      141   ,                  95.6   ,              81.0   ,               10.7   ,             93.7   , 0.9437   ,               54.0   ,                 10113   ,
2022-04-18 00:16:28 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2091   ,        100   ,                       56   ,                       3476   ,                      141   ,                  91.8   ,              85.6   ,               10.7   ,             94.0   , 0.9375   ,               54.0   ,                 10101   ,
2022-04-18 00:16:29 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2090   ,        100   ,                       55   ,                       3477   ,                      141   ,                  81.2   ,              97.1   ,               10.7   ,             94.5   , 0.9375   ,               53.0   ,                 10109   ,
2022-04-18 00:16:30 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2089   ,         59   ,                       22   ,                       3477   ,                      141   ,                 112.9   ,              85.7   ,               10.7   ,             94.2   , 0.9375   ,               54.0   ,                 10107   ,
2022-04-18 00:16:31 ,        1216.0   ,           1750.0   ,               76.0   ,              53   ,                2096   ,          0   ,                        1   ,                       3667   ,                      169   ,                  60.0   ,              36.9   ,               10.7   ,             87.0   , 0.9563   ,               54.0   ,                 10251   ,
2022-04-18 00:16:32 ,        1216.0   ,           1750.0   ,               76.0   ,              53   ,                2093   ,        100   ,                       36   ,                       3674   ,                      169   ,                 113.8   ,              57.6   ,               10.7   ,             92.8   , 0.9437   ,               52.0   ,                 10264   ,
2022-04-18 00:16:33 ,        1216.0   ,           1750.0   ,               77.0   ,              53   ,                2091   ,        100   ,                       22   ,                       3674   ,                      169   ,                  72.6   ,              75.6   ,               10.7   ,             88.8   , 0.9500   ,               51.0   ,                 10253   ,
2022-04-18 00:16:34 ,        1216.0   ,           1750.0   ,               77.0   ,              53   ,                2091   ,        100   ,                       23   ,                       3674   ,                      169   ,                  86.5   ,              71.5   ,               10.7   ,             91.7   , 0.9500   ,               52.0   ,                 10254   ,
2022-04-18 00:16:35 ,        1216.0   ,           1750.0   ,               77.0   ,              53   ,                2091   ,        100   ,                       26   ,                       3683   ,                      169   ,                 105.7   ,              82.8   ,               10.7   ,             93.7   , 0.9437   ,               53.0   ,                 10256   ,
