        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , VDDC Power Draw [W] , VDDCI Power Draw [W] , VRM Efficiency [%] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2022-04-16 09:15:55 ,        1216.0   ,           1750.0   ,               68.0   ,              53   ,                2087   ,         99   ,                       32   ,                       2249   ,                      167   ,                  53.8   ,              35.4   ,               10.7   ,             93.2   , 0.9437   ,               48.0   ,                 10306   ,
2022-04-16 09:15:56 ,        1216.0   ,           1750.0   ,               68.0   ,              53   ,                2077   ,         89   ,                       14   ,                       2287   ,                      167   ,                  57.5   ,              26.3   ,               10.7   ,             93.3   , 0.9437   ,               53.0   ,                 10368   ,
2022-04-16 09:15:57 ,        1216.0   ,           1750.0   ,               68.0   ,              53   ,                2077   ,         34   ,                       30   ,                       2300   ,                      167   ,                  95.1   ,              41.4   ,               10.7   ,             93.6   , 0.9375   ,               50.0   ,                 10314   ,
2022-04-16 09:15:58 ,        1216.0   ,           1750.0   ,               69.0   ,              53   ,                2077   ,         43   ,                       41   ,                       2300   ,                      167   ,                  95.9   ,              45.6   ,               10.7   ,             92.9   , 0.9375   ,               49.0   ,                 10292   ,
2022-04-16 09:15:59 ,        1196.4   ,           1750.0   ,               67.0   ,              53   ,                2062   ,          0   ,                        0   ,                       2490   ,                      158   ,                  36.7   ,              20.1   ,               10.7   ,             83.7   , 0.9563   ,               48.0   ,                 10351   ,
2022-04-16 09:16:00 ,        1216.0   ,           1750.0   ,               69.0   ,              47   ,                1681   ,          0   ,                        1   ,                       2515   ,                      158   ,                  36.7   ,              20.1   ,               10.7   ,             83.7   , 0.9563   ,               52.0   ,                 10406   ,
2022-04-16 09:16:01 ,        1216.0   ,           1750.0   ,               68.0   ,              47   ,                1770   ,         92   ,                       34   ,                       2764   ,                      158   ,                  94.9   ,              54.7   ,               10.7   ,             91.8   , 0.9500   ,               49.0   ,                 10498   ,
2022-04-16 09:16:02 ,        1215.0   ,           1750.0   ,               67.0   ,              47   ,                1778   ,         92   ,                       44   ,                       2731   ,                      158   ,                  66.4   ,              90.6   ,               10.7   ,             83.7   , 0.9500   ,               50.0   ,                 10590   ,
2022-04-16 09:16:03 ,        1216.0   ,           1750.0   ,               70.0   ,              47   ,                1771   ,        100   ,                       59   ,                       2741   ,                      158   ,                  97.4   ,              80.3   ,               10.7   ,             94.3   , 0.9313   ,               51.0   ,                 10685   ,
2022-04-16 09:16:04 ,        1216.0   ,           1750.0   ,               71.0   ,              47   ,                1770   ,        100   ,                        9   ,                       2742   ,                      158   ,                 100.3   ,              96.9   ,               10.7   ,             94.0   , 0.9313   ,               51.0   ,                 10817   ,
